game_urn,match_perid,region,game_start_date_time,series_type,series_max,series_curr,team_1_urn,team_1_name,team_1_side,team_2_urn,team_2_name,team_2_side,winning_team_urn,winning_team,winning_side,game_duration_mins,bb1,rb1,bb2,rb2,bb3,rb3,bp1,rp1,rp2,bp2,bp3,rp3,rb4,bb4,rb5,bb5,rp4,bp4,bp5,rp5,team_1_perid,team_2_perid,winning_team_perid,upsert_at,team_1_top,team_1_top_pick_num,team_1_jng,team_1_jng_pick_num,team_1_mid,team_1_mid_pick_num,team_1_bot,team_1_bot_pick_num,team_1_sup,team_1_sup_pick_num,team_2_top,team_2_top_pick_num,team_2_jng,team_2_jng_pick_num,team_2_mid,team_2_mid_pick_num,team_2_bot,team_2_bot_pick_num,team_2_sup,team_2_sup_pick_num,game_version
live:lol:riot:map:esportstmnt01-3373466,esports:match:c8b9a529-2453-4789-8300-ae4173e4b35d,LCS,6/14/2023 9:13 PM,BEST_OF,1,1,live:lol:riot:team:98767991877340524,C9,blue,live:lol:riot:team:99294153824386385,GG,red,live:lol:riot:team:98767991877340524,C9,blue,26.612866666666665,Blitzcrank,Neeko,Vi,Draven,Khazix,Annie,Milio,Lucian,Ahri,Kindred,Zeri,Nami,Leblanc,MonkeyKing,Syndra,Poppy,Jax,Gragas,KSante,Ornn,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,6/14/2023 10:04 PM,KSante,9,Kindred,4,Gragas,8,Zeri,5,Milio,1,Ornn,10,Jax,7,Ahri,3,Lucian,2,Nami,6,13.11.512.8126
live:lol:riot:map:esportstmnt01-3378493,esports:match:dd465615-1183-4112-8cfa-c0fea0e11940,LCS,6/16/2023 9:50 PM,BEST_OF,1,1,live:lol:riot:team:98926509892121852,FLY,blue,live:lol:riot:team:99294153824386385,GG,red,live:lol:riot:team:99294153824386385,GG,red,36.895633333333336,Vi,Neeko,Milio,KSante,Lucian,Yuumi,Annie,Aphelios,Sejuani,Xayah,Rakan,Azir,MonkeyKing,Renekton,Kindred,Poppy,Lulu,Viego,Gragas,Yone,esports:team:87a6b274-b0b2-4184-b39c-52740a996f5b,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,6/16/2023 11:04 PM,Gragas,9,Viego,8,Annie,1,Xayah,4,Rakan,5,Yone,10,Sejuani,3,Azir,6,Aphelios,2,Lulu,7,13.11.512.8126
live:lol:riot:map:esportstmnt01-3376646,esports:match:2c80d6ab-803e-4967-85fd-48370ffa9a5b,LCS,6/17/2023 12:49 AM,BEST_OF,1,1,live:lol:riot:team:98767991877340524,C9,blue,live:lol:riot:team:98767991860392497,TSM,red,live:lol:riot:team:98767991877340524,C9,blue,29.410983333333334,Blitzcrank,Zeri,Vi,Neeko,Lucian,Maokai,Milio,Karma,MonkeyKing,Aphelios,Kindred,Malphite,Gwen,Rakan,Sylas,Ezreal,Jhin,Gragas,KSante,Ahri,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:team:c7fb2ef8-27bf-4363-b1a5-b68f11ec272e,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,6/17/2023 2:04 AM,Gragas,8,Kindred,5,KSante,9,Aphelios,4,Milio,1,Malphite,6,MonkeyKing,3,Ahri,10,Jhin,7,Karma,2,13.11.512.8126
live:lol:riot:map:esportstmnt02-3208561,esports:match:3ccd76f5-ed33-42f5-a2ec-2dfd7cab5062,LCS,6/21/2023 9:07 PM,BEST_OF,1,1,live:lol:riot:team:98926509883054987,DIG,blue,live:lol:riot:team:99294153824386385,GG,red,live:lol:riot:team:99294153824386385,GG,red,33.14685,Jayce,Neeko,Aphelios,Leblanc,Vi,Sejuani,Azir,Varus,Akali,Maokai,Ashe,Kindred,KSante,Sion,Thresh,Blitzcrank,Jax,Poppy,Milio,Rell,esports:team:129cfc07-4f37-4f10-af3a-6f0d78c8a208,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,6/21/2023 11:04 PM,Poppy,8,Maokai,4,Azir,1,Ashe,5,Milio,9,Jax,7,Kindred,6,Akali,3,Varus,2,Rell,10,13.12.514.8523
live:lol:riot:map:esportstmnt02-3209643,esports:match:6ced2e69-e07e-4f3b-8112-4ca6ebdbecb3,LCS,6/21/2023 11:03 PM,BEST_OF,1,1,live:lol:riot:team:98767991877340524,C9,blue,live:lol:riot:team:98926509892121852,FLY,red,live:lol:riot:team:98767991877340524,C9,blue,28.40685,Rakan,Kindred,Ivern,Leblanc,Annie,Varus,Neeko,Vi,Aphelios,Nocturne,Kennen,Azir,Ashe,Malphite,Lucian,Alistar,Renekton,Kaisa,Nautilus,Thresh,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:team:87a6b274-b0b2-4184-b39c-52740a996f5b,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,6/22/2023 5:04 AM,Kennen,5,Nocturne,4,Neeko,1,Kaisa,8,Nautilus,9,Renekton,7,Vi,2,Azir,6,Aphelios,3,Thresh,10,13.12.514.8523
live:lol:riot:map:esportstmnt02-3209828,esports:match:455eda23-59fa-4d67-87c2-1d7ca65f75bd,LCS,6/22/2023 9:55 PM,BEST_OF,1,1,live:lol:riot:team:98767991930907107,IMT,blue,live:lol:riot:team:99294153824386385,GG,red,live:lol:riot:team:99294153824386385,GG,red,26.221033333333335,Lucian,Neeko,Vi,Leblanc,Azir,Kindred,Annie,Varus,Sejuani,MonkeyKing,Aphelios,Jayce,Milio,Jax,Sion,Yone,Renekton,Ornn,Rakan,Rell,esports:team:364e9187-db71-4a81-aefb-fcd7a706f707,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,6/22/2023 11:04 PM,Ornn,8,MonkeyKing,4,Annie,1,Aphelios,5,Rakan,9,Renekton,7,Sejuani,3,Jayce,6,Varus,2,Rell,10,13.12.514.8523
live:lol:riot:map:esportstmnt02-3210080,esports:match:3a1cafbe-84e6-4304-9c66-9acd5a0d540f,LCS,6/24/2023 12:56 AM,BEST_OF,1,1,live:lol:riot:team:98767991877340524,C9,blue,live:lol:riot:team:106972778172351142,NRG,red,live:lol:riot:team:106972778172351142,NRG,red,29.986533333333334,Sejuani,Neeko,Ivern,Leblanc,Rakan,Maokai,Vi,MonkeyKing,Rell,Kennen,Annie,Jayce,Varus,Ahri,Nautilus,Syndra,Azir,Aphelios,Yuumi,Kaisa,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:team:b7aca248-a6bf-41ce-952d-47f50ef63e52,esports:team:b7aca248-a6bf-41ce-952d-47f50ef63e52,6/24/2023 4:04 AM,Kennen,4,Vi,1,Annie,5,Aphelios,8,Yuumi,9,Jayce,6,MonkeyKing,2,Azir,7,Kaisa,10,Rell,3,13.12.514.8523
live:lol:riot:map:esportstmnt02-3215315,esports:match:4fb25170-3467-4f67-a710-f3103f3684b9,LCS,6/29/2023 1:22 AM,BEST_OF,1,1,live:lol:riot:team:98767991877340524,C9,blue,live:lol:riot:team:98767991930907107,IMT,red,live:lol:riot:team:98767991877340524,C9,blue,26.18585,Kindred,Neeko,Xayah,Leblanc,Milio,Maokai,Kaisa,Viego,Ahri,Vi,Annie,Aphelios,Jax,Renekton,Rakan,Rumble,KSante,Rell,Gnar,Alistar,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:team:364e9187-db71-4a81-aefb-fcd7a706f707,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,6/29/2023 4:04 AM,Gnar,9,Vi,4,Annie,5,Kaisa,1,Rell,8,KSante,7,Viego,2,Ahri,3,Aphelios,6,Alistar,10,13.12.514.8523
live:lol:riot:map:esportstmnt02-3214284,esports:match:730cf406-003d-40a1-8b96-bd4aa03cdc10,LCS,6/28/2023 11:08 PM,BEST_OF,1,1,live:lol:riot:team:106972778172351142,NRG,blue,live:lol:riot:team:99294153824386385,GG,red,live:lol:riot:team:106972778172351142,NRG,blue,50.278333333333336,Kindred,Neeko,Milio,Leblanc,MonkeyKing,Vi,Kaisa,Maokai,Tristana,Renekton,Rell,Jax,Sejuani,Alistar,Poppy,Rakan,Nautilus,Ivern,Jayce,Azir,esports:team:b7aca248-a6bf-41ce-952d-47f50ef63e52,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:team:b7aca248-a6bf-41ce-952d-47f50ef63e52,6/29/2023 5:05 AM,Renekton,4,Ivern,8,Jayce,9,Kaisa,1,Rell,5,Jax,6,Maokai,2,Azir,10,Tristana,3,Nautilus,7,13.12.514.8523
live:lol:riot:map:esportstmnt02-3216144,esports:match:80875161-777b-460a-acbd-f83b8d9a1e77,LCS,6/30/2023 12:46 AM,BEST_OF,1,1,live:lol:riot:team:99294153828264740,100,blue,live:lol:riot:team:99294153824386385,GG,red,live:lol:riot:team:99294153824386385,GG,red,39.8049,Tristana,Neeko,Vi,Leblanc,Kindred,KSante,Azir,Rakan,Sejuani,Maokai,Renekton,Yone,Kaisa,Jax,Jinx,Kennen,Aphelios,Xayah,Milio,Rumble,esports:team:19a82dc3-96de-474c-8ed1-ced74b0f08cd,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,6/30/2023 5:33 AM,Renekton,5,Maokai,4,Azir,1,Xayah,8,Milio,9,Rumble,10,Sejuani,3,Yone,6,Aphelios,7,Rakan,2,13.12.518.1641
live:lol:riot:map:esportstmnt02-3214865,esports:match:7d6e26b2-59cc-4c71-a6d7-0a401711721d,LCS,6/30/2023 9:08 PM,BEST_OF,1,1,live:lol:riot:team:98767991877340524,C9,blue,live:lol:riot:team:103461966951059521,EG,red,live:lol:riot:team:98767991877340524,C9,blue,22.183016666666667,Blitzcrank,Maokai,Vi,Kennen,Leblanc,Neeko,Milio,Renekton,Sejuani,Kindred,KSante,Varus,Aphelios,Azir,Xayah,Tristana,Janna,Ahri,Ashe,Jayce,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:team:8b7dfd17-b0a5-48a7-96bb-906226686100,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,6/30/2023 11:04 PM,KSante,5,Kindred,4,Ahri,8,Ashe,9,Milio,1,Renekton,2,Sejuani,3,Jayce,10,Varus,6,Janna,7,13.12.518.1641
live:lol:riot:map:esportstmnt02-3213927,esports:match:94d59072-7147-48e7-963f-dbc36e9dc32a,LCS,6/30/2023 9:54 PM,BEST_OF,1,1,live:lol:riot:team:98926509885559666,TL,blue,live:lol:riot:team:99294153824386385,GG,red,live:lol:riot:team:99294153824386385,GG,red,33.10606666666666,Azir,Kennen,Tristana,Leblanc,Kindred,Neeko,Vi,Aphelios,Viego,Varus,Ahri,Annie,Jax,Rumble,Rakan,Renekton,Rell,Renata,KSante,Poppy,esports:team:0f69b320-f4c5-47f2-a42a-a1b2db6d0b3b,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,7/1/2023 1:04 AM,KSante,9,Vi,1,Ahri,5,Varus,4,Renata,8,Poppy,10,Viego,3,Annie,6,Aphelios,2,Rell,7,13.12.518.1641
live:lol:riot:map:esportstmnt03-3178575,esports:match:df79aae1-b4ce-4ace-a0f9-99498b6052ff,LCS,7/8/2023 1:10 AM,BEST_OF,1,1,live:lol:riot:team:98767991860392497,TSM,blue,live:lol:riot:team:99294153824386385,GG,red,live:lol:riot:team:98767991860392497,TSM,blue,27.013933333333334,Kindred,Rakan,Aphelios,Sejuani,Rumble,Leblanc,Tristana,Ashe,Poppy,Maokai,Renekton,Sylas,Kaisa,Milio,Karma,Rell,KSante,Jinx,Braum,Zac,esports:team:c7fb2ef8-27bf-4363-b1a5-b68f11ec272e,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:team:c7fb2ef8-27bf-4363-b1a5-b68f11ec272e,7/8/2023 2:04 AM,Renekton,5,Maokai,4,Tristana,1,Jinx,8,Braum,9,KSante,7,Poppy,3,Sylas,6,Ashe,2,Zac,10,13.13.518.1870
live:lol:riot:map:esportstmnt03-3177113,esports:match:811f0ba1-0a5e-4bc5-a682-31885dd1a5e5,LCS,7/6/2023 9:09 PM,BEST_OF,1,1,live:lol:riot:team:98926509892121852,FLY,blue,live:lol:riot:team:99294153824386385,GG,red,live:lol:riot:team:99294153824386385,GG,red,35.331066666666665,Rumble,Rakan,Tristana,Ivern,Leblanc,Poppy,Sejuani,Aphelios,Kindred,Azir,Milio,Sylas,Ashe,Blitzcrank,Jinx,Kennen,Nautilus,Xayah,Renekton,KSante,esports:team:87a6b274-b0b2-4184-b39c-52740a996f5b,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,7/6/2023 10:04 PM,Renekton,9,Sejuani,1,Azir,4,Xayah,8,Milio,5,KSante,10,Kindred,3,Sylas,6,Aphelios,2,Nautilus,7,13.13.518.1870
live:lol:riot:map:esportstmnt03-3179121,esports:match:4a254538-67ee-4f2b-aac2-e7ff6fd3ed82,LCS,7/6/2023 10:11 PM,BEST_OF,1,1,live:lol:riot:team:98767991877340524,C9,blue,live:lol:riot:team:98926509883054987,DIG,red,live:lol:riot:team:98767991877340524,C9,blue,30.03005,Azir,Milio,Poppy,Kindred,Illaoi,Ivern,Tristana,Leblanc,Sejuani,Maokai,Renekton,Jax,Ashe,Rakan,Kaisa,Braum,Aphelios,Varus,Heimerdinger,Rell,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:team:129cfc07-4f37-4f10-af3a-6f0d78c8a208,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,7/6/2023 11:04 PM,Renekton,5,Maokai,4,Tristana,1,Varus,8,Heimerdinger,9,Jax,6,Sejuani,3,Leblanc,2,Aphelios,7,Rell,10,13.13.518.1870
