game_urn,match_perid,region,game_start_date_time,series_type,series_max,series_curr,team_1_urn,team_1_name,team_1_side,team_2_urn,team_2_name,team_2_side,winning_team_urn,winning_team,winning_side,game_duration_mins,bb1,rb1,bb2,rb2,bb3,rb3,bp1,rp1,rp2,bp2,bp3,rp3,rb4,bb4,rb5,bb5,rp4,bp4,bp5,rp5,team_1_perid,team_2_perid,winning_team_perid,upsert_at,team_1_top,team_1_top_pick_num,team_1_jng,team_1_jng_pick_num,team_1_mid,team_1_mid_pick_num,team_1_bot,team_1_bot_pick_num,team_1_sup,team_1_sup_pick_num,team_2_top,team_2_top_pick_num,team_2_jng,team_2_jng_pick_num,team_2_mid,team_2_mid_pick_num,team_2_bot,team_2_bot_pick_num,team_2_sup,team_2_sup_pick_num,game_version
live:lol:riot:map:esportstmnt03-3184735,esports:match:b009ffe1-44d5-4cca-abd1-f4791b3c2c0f,LCS,7/12/2023 11:37 PM,BEST_OF,1,1,live:lol:riot:team:98767991877340524,C9,blue,live:lol:riot:team:98926509885559666,TL,red,live:lol:riot:team:98926509885559666,TL,red,38.5559,Rumble,Tristana,Blitzcrank,Jayce,Sejuani,Leblanc,Kindred,Aphelios,MonkeyKing,Milio,Ashe,Ziggs,Syndra,Rell,Annie,Nautilus,Rakan,Lissandra,Renekton,Kennen,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:team:0f69b320-f4c5-47f2-a42a-a1b2db6d0b3b,esports:team:0f69b320-f4c5-47f2-a42a-a1b2db6d0b3b,7/13/2023 1:04 AM,Renekton,9,Kindred,1,Lissandra,8,Ashe,5,Milio,4,Kennen,10,MonkeyKing,3,Ziggs,6,Aphelios,2,Rakan,7,13.13.518.1870
live:lol:riot:map:esportstmnt03-3186073,esports:match:b98f7c83-e3f7-4a6e-bb9b-21ae7cc45e4f,LCS,7/14/2023 12:04 AM,BEST_OF,1,1,live:lol:riot:team:98767991877340524,C9,blue,live:lol:riot:team:99294153828264740,100,red,live:lol:riot:team:98767991877340524,C9,blue,27.13915,Azir,Tristana,Viego,Leblanc,Blitzcrank,Milio,Kaisa,Rell,Ahri,Maokai,Jayce,Varus,Renekton,Vi,Rakan,Braum,LeeSin,Rumble,Nautilus,Kennen,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:team:19a82dc3-96de-474c-8ed1-ced74b0f08cd,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,7/14/2023 1:04 AM,Rumble,8,Maokai,4,Jayce,5,Kaisa,1,Nautilus,9,Kennen,10,LeeSin,7,Ahri,3,Varus,6,Rell,2,13.13.518.1870
live:lol:riot:map:esportstmnt03-3186086,esports:match:584b0496-2aa9-43b6-b737-d8dff02229d7,LCS,7/14/2023 12:55 AM,BEST_OF,1,1,live:lol:riot:team:98767991930907107,IMT,blue,live:lol:riot:team:99294153824386385,GG,red,live:lol:riot:team:99294153824386385,GG,red,34.931416666666664,Jayce,Neeko,Leblanc,Kindred,Tristana,Kaisa,Poppy,Aphelios,Jax,Rell,Jinx,Maokai,Renekton,Yone,Milio,Alistar,Azir,Ziggs,Nautilus,Renata,esports:team:364e9187-db71-4a81-aefb-fcd7a706f707,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,7/14/2023 2:04 AM,Poppy,1,Nautilus,9,Ziggs,8,Jinx,5,Rell,4,Jax,3,Maokai,6,Azir,7,Aphelios,2,Renata,10,13.13.518.1870
live:lol:riot:map:esportstmnt03-3186454,esports:match:8fc23732-f9e7-414e-9401-fb7a7b7577a4,LCS,7/14/2023 11:54 PM,BEST_OF,1,1,live:lol:riot:team:98767991877340524,C9,blue,live:lol:riot:team:103461966951059521,EG,red,live:lol:riot:team:98767991877340524,C9,blue,25.773183333333332,Blitzcrank,Milio,Ivern,Kaisa,Rumble,Leblanc,Tristana,Rell,Sejuani,Maokai,Renekton,Jax,Heimerdinger,Sylas,Xayah,Yone,Aphelios,KogMaw,Braum,Jayce,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:team:8b7dfd17-b0a5-48a7-96bb-906226686100,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,7/15/2023 1:04 AM,Renekton,5,Maokai,4,Tristana,1,KogMaw,8,Braum,9,Jax,6,Sejuani,3,Jayce,10,Aphelios,7,Rell,2,13.13.518.1870
live:lol:riot:map:esportstmnt03-3192653,esports:match:0fe6b761-12a9-4344-9899-c3dc6c4d8eda,LCS,7/20/2023 10:07 PM,BEST_OF,1,1,live:lol:riot:team:98767991877340524,C9,blue,live:lol:riot:team:98767991860392497,TSM,red,live:lol:riot:team:98767991877340524,C9,blue,20.691083333333335,Renekton,Kaisa,Blitzcrank,Kindred,Rakan,Rumble,Tristana,Jayce,Maokai,Ivern,Rell,Alistar,Sylas,Malphite,Orianna,Kennen,Ashe,Aphelios,KSante,Poppy,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:team:c7fb2ef8-27bf-4363-b1a5-b68f11ec272e,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,7/20/2023 11:04 PM,KSante,9,Ivern,4,Tristana,1,Aphelios,8,Rell,5,Poppy,10,Maokai,3,Jayce,2,Ashe,7,Alistar,6,13.13.521.1071
live:lol:riot:map:esportstmnt03-3194810,esports:match:d8b86bcc-cafe-45b6-ba16-f4ee8b3240d0,LCS,7/21/2023 10:52 PM,BEST_OF,1,1,live:lol:riot:team:99294153828264740,100,blue,live:lol:riot:team:99294153824386385,GG,red,live:lol:riot:team:99294153824386385,GG,red,36.60198333333334,Rell,Viego,Tristana,Kaisa,Rumble,Leblanc,Rakan,Xayah,Jax,KSante,Azir,Leona,Poppy,Taliyah,Varus,Yone,Ahri,Zeri,Sejuani,Vi,esports:team:19a82dc3-96de-474c-8ed1-ced74b0f08cd,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,7/22/2023 12:04 AM,KSante,4,Sejuani,9,Azir,5,Zeri,8,Rakan,1,Jax,3,Vi,10,Ahri,7,Xayah,2,Leona,6,13.13.521.1071
live:lol:riot:map:esportstmnt03-3192931,esports:match:d4bd4ed7-d4b4-4c72-bd77-20180c17f05a,LCS,7/22/2023 12:46 AM,BEST_OF,1,1,live:lol:riot:team:98767991877340524,C9,blue,live:lol:riot:team:98926509892121852,FLY,red,live:lol:riot:team:98767991877340524,C9,blue,25.575283333333335,Blitzcrank,Milio,Jayce,Kaisa,Yone,Rumble,Tristana,Ivern,Rell,Sejuani,Kennen,Aphelios,Varus,Malphite,Nilah,Azir,Renekton,Xayah,Rakan,Sylas,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:team:87a6b274-b0b2-4184-b39c-52740a996f5b,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,7/22/2023 2:04 AM,Kennen,5,Sejuani,4,Tristana,1,Xayah,8,Rakan,9,Renekton,7,Ivern,2,Sylas,10,Aphelios,6,Rell,3,13.13.521.1071
live:lol:riot:map:esportstmnt01-3408908,esports:match:5802e299-6c9e-4074-8e0c-0a6c9be16b3a,LCS,8/5/2023 9:07 PM,BEST_OF,5,1,live:lol:riot:team:98767991877340524,C9,blue,live:lol:riot:team:103461966951059521,EG,red,live:lol:riot:team:98767991877340524,C9,blue,40.0884,Xayah,Maokai,Tristana,Rumble,Jax,Kennen,Leblanc,Ivern,Renekton,Sejuani,Aatrox,Jayce,Zeri,Kaisa,Rakan,Varus,Aphelios,Ashe,Braum,Rell,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:team:8b7dfd17-b0a5-48a7-96bb-906226686100,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,8/5/2023 10:05 PM,Aatrox,5,Sejuani,4,Leblanc,1,Ashe,8,Braum,9,Renekton,3,Ivern,2,Jayce,6,Aphelios,7,Rell,10,13.14.522.821
live:lol:riot:map:esportstmnt01-3410017,esports:match:5802e299-6c9e-4074-8e0c-0a6c9be16b3a,LCS,8/5/2023 11:03 PM,BEST_OF,5,3,live:lol:riot:team:98767991877340524,C9,blue,live:lol:riot:team:103461966951059521,EG,red,live:lol:riot:team:98767991877340524,C9,blue,28.017783333333334,Xayah,Leblanc,Tristana,Rumble,Ahri,Kennen,Jayce,Renekton,Kaisa,Maokai,KSante,Sejuani,Varus,Yone,Braum,Sylas,Azir,Rell,Ezreal,Rakan,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:team:8b7dfd17-b0a5-48a7-96bb-906226686100,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,8/6/2023 12:04 AM,KSante,5,Maokai,4,Jayce,1,Ezreal,9,Rell,8,Renekton,2,Sejuani,6,Azir,7,Kaisa,3,Rakan,10,13.14.522.821
live:lol:riot:map:esportstmnt01-3410273,esports:match:c91b7586-dc65-4313-9bbc-49bbca79e9cd,LCS,8/6/2023 10:02 PM,BEST_OF,5,2,live:lol:riot:team:106972778172351142,NRG,blue,live:lol:riot:team:99294153824386385,GG,red,live:lol:riot:team:106972778172351142,NRG,blue,37.5827,Jax,Ivern,Rumble,Azir,Vi,Leblanc,Kaisa,Tristana,Maokai,Jayce,Renekton,KSante,Lillia,Rakan,Sejuani,Ahri,Viego,Rell,Nidalee,Lissandra,esports:team:b7aca248-a6bf-41ce-952d-47f50ef63e52,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:team:b7aca248-a6bf-41ce-952d-47f50ef63e52,8/6/2023 11:05 PM,Renekton,5,Nidalee,9,Jayce,4,Kaisa,1,Rell,8,KSante,6,Viego,7,Lissandra,10,Tristana,2,Maokai,3,13.14.522.821
live:lol:riot:map:esportstmnt01-3413227,esports:match:94c167de-b73a-4303-bf97-20ef379c74f7,LCS,8/11/2023 10:00 PM,BEST_OF,5,2,live:lol:riot:team:98926509883054987,DIG,blue,live:lol:riot:team:99294153824386385,GG,red,live:lol:riot:team:99294153824386385,GG,red,23.31355,Rumble,Ivern,Azir,Rakan,Leblanc,Kaisa,Tristana,Jayce,Maokai,Sejuani,KSante,Renekton,Ziggs,Rell,Braum,Aphelios,Ezreal,Zeri,Nautilus,Leona,esports:team:129cfc07-4f37-4f10-af3a-6f0d78c8a208,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,8/11/2023 11:04 PM,KSante,5,Sejuani,4,Tristana,1,Zeri,8,Nautilus,9,Renekton,6,Maokai,3,Jayce,2,Ezreal,7,Leona,10,13.14.522.821
live:lol:riot:map:esportstmnt01-3413229,esports:match:94c167de-b73a-4303-bf97-20ef379c74f7,LCS,8/11/2023 10:46 PM,BEST_OF,5,3,live:lol:riot:team:98926509883054987,DIG,blue,live:lol:riot:team:99294153824386385,GG,red,live:lol:riot:team:99294153824386385,GG,red,25.85855,Rumble,Ivern,Leblanc,Rakan,Renekton,Tristana,Kaisa,Maokai,Jayce,Sejuani,Azir,Ezreal,Aatrox,Braum,Jax,Poppy,KSante,Fiora,Rell,Nautilus,esports:team:129cfc07-4f37-4f10-af3a-6f0d78c8a208,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,8/12/2023 12:04 AM,Fiora,8,Sejuani,4,Azir,5,Kaisa,1,Rell,9,KSante,7,Maokai,2,Jayce,3,Ezreal,6,Nautilus,10,13.14.522.821
live:lol:riot:map:esportstmnt01-3414314,esports:match:039ce109-54c8-46bd-9a14-49ab75152087,LCS,8/12/2023 9:06 PM,BEST_OF,5,1,live:lol:riot:team:98767991877340524,C9,blue,live:lol:riot:team:106972778172351142,NRG,red,live:lol:riot:team:98767991877340524,C9,blue,33.336083333333335,Azir,Nocturne,Xayah,Leblanc,Ivern,Gragas,Kaisa,Jayce,Maokai,Rell,Tristana,Renekton,Sejuani,Ezreal,Rumble,Braum,Aphelios,Jax,Nautilus,Alistar,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:team:b7aca248-a6bf-41ce-952d-47f50ef63e52,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,8/12/2023 10:05 PM,Jax,8,Rell,4,Tristana,5,Kaisa,1,Nautilus,9,Renekton,6,Maokai,3,Jayce,2,Aphelios,7,Alistar,10,13.14.522.821
live:lol:riot:map:esportstmnt01-3415408,esports:match:7c0b9a59-fe27-40e1-a57d-d5ad9fbf6bfb,LCS,8/13/2023 11:41 PM,BEST_OF,5,4,live:lol:riot:team:98926509885559666,TL,blue,live:lol:riot:team:99294153824386385,GG,red,live:lol:riot:team:99294153824386385,GG,red,37.6873,Leblanc,Ziggs,Jayce,Tristana,Azir,Neeko,Kindred,Rakan,Kaisa,Ashe,Milio,Khazix,Cassiopeia,Jax,Lissandra,Taliyah,KSante,Ahri,Ornn,Sylas,esports:team:0f69b320-f4c5-47f2-a42a-a1b2db6d0b3b,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,8/14/2023 1:05 AM,Ornn,9,Kindred,1,Ahri,8,Ashe,4,Milio,5,KSante,7,Khazix,6,Sylas,10,Kaisa,3,Rakan,2,13.14.522.821
live:lol:riot:map:esportstmnt01-3417173,esports:match:aef14f86-d867-4e6a-9b06-fd04648adced,LCS,8/20/2023 8:19 PM,BEST_OF,5,1,live:lol:riot:team:98767991877340524,C9,blue,live:lol:riot:team:106972778172351142,NRG,red,live:lol:riot:team:98767991877340524,C9,blue,32.09055,Xayah,Leblanc,Azir,Tristana,Poppy,Maokai,Kaisa,Zeri,Rell,Sejuani,Jayce,Rumble,KSante,Nocturne,Jax,Ahri,Rakan,Renekton,Nautilus,Lucian,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:team:b7aca248-a6bf-41ce-952d-47f50ef63e52,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,8/20/2023 9:04 PM,Renekton,8,Sejuani,4,Jayce,5,Kaisa,1,Nautilus,9,Rumble,6,Rell,3,Lucian,10,Zeri,2,Rakan,7,13.14.522.821
live:lol:riot:map:esportstmnt01-3416274,esports:match:aef14f86-d867-4e6a-9b06-fd04648adced,LCS,8/20/2023 10:10 PM,BEST_OF,5,3,live:lol:riot:team:98767991877340524,C9,blue,live:lol:riot:team:106972778172351142,NRG,red,live:lol:riot:team:106972778172351142,NRG,red,41.93448333333333,Xayah,Leblanc,Azir,Tristana,Ivern,Jayce,Maokai,Sejuani,Kaisa,Zeri,Alistar,Jax,KSante,Sylas,Yone,Rakan,Rell,Aatrox,Ahri,Taliyah,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:team:b7aca248-a6bf-41ce-952d-47f50ef63e52,esports:team:b7aca248-a6bf-41ce-952d-47f50ef63e52,8/21/2023 12:05 AM,Aatrox,8,Maokai,1,Ahri,9,Zeri,4,Alistar,5,Jax,6,Sejuani,2,Taliyah,10,Kaisa,3,Rell,7,13.14.522.821
live:lol:riot:map:esportstmnt01-3417177,esports:match:aef14f86-d867-4e6a-9b06-fd04648adced,LCS,8/20/2023 11:14 PM,BEST_OF,5,4,live:lol:riot:team:98767991877340524,C9,blue,live:lol:riot:team:106972778172351142,NRG,red,live:lol:riot:team:106972778172351142,NRG,red,39.057883333333336,Xayah,Leblanc,Poppy,Tristana,Kaisa,Maokai,Sejuani,Rell,Zeri,Rumble,Yone,Jax,Nautilus,Ivern,Rakan,Azir,Alistar,Draven,Renata,Neeko,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:team:b7aca248-a6bf-41ce-952d-47f50ef63e52,esports:team:b7aca248-a6bf-41ce-952d-47f50ef63e52,8/21/2023 1:05 AM,Rumble,4,Sejuani,1,Yone,5,Draven,8,Renata,9,Jax,6,Rell,2,Neeko,10,Zeri,3,Alistar,7,13.14.522.821
